de,una ; 11
y,la ; 9
de,la ; 37
que,el ; 21
el,gobierno ; 16
en,el ; 21
que,no ; 61
que,se ; 35
sus,hijos ; 20
de,familia ; 8
padres,de ; 10
los,padres ; 21
que,los ; 26
con,el ; 8
en,internet ; 14
a,las ; 11
acerca,de ; 9
y,que ; 34
tipo,de ; 15
pendiente,de ; 9
al,pendiente ; 10
sociales,y ; 13
redes,sociales ; 37
las,redes ; 34
el,internet ; 35
que,es ; 10
lo,que ; 35
que,ellos ; 8
de,lo ; 8
que,pueden ; 8
cosas,que ; 9
a,los ; 32
ni,os ; 13
los,ni ; 10
para,que ; 24
la,seguridad ; 19
que,hagan ; 8
o,que ; 12
riesgos,que ; 10
los,riesgos ; 17
decir,saber ; 12
es,decir ; 13
una,buena ; 8
datos,personales ; 13
de,redes ; 10
todo,tipo ; 8
seguridad,que ; 8
estar,mas ; 8
falta,de ; 10
pues,que ; 8
en,las ; 22
es,el ; 9
internet,y ; 12
uso,de ; 27
para,el ; 8
acceso,a ; 21
el,acceso ; 9
en,los ; 10
de,los ; 21
internet,en ; 8
a,la ; 20
del,internet ; 15
uso,del ; 9
el,uso ; 27
de,las ; 25
ya,que ; 14
las,escuelas ; 9
que,las ; 9
internet,que ; 12
de,internet ; 20
para,su ; 9
su,edad ; 8
no,se ; 8
a,sus ; 8
para,ellos ; 9
no,son ; 9
no,es ; 11
aprender,a ; 12
mal,uso ; 10
el,mal ; 8
menores,de ; 10
y,de ; 9
de,seguridad ; 9
y,adolescentes ; 14
ninos,y ; 17
los,ninos ; 26
